TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
KAREN LLORA EN UN BUS,GABRIEL ROJAS VERA,CAJANEGRA PRODUCCIONES,98.0,CINE COLOMBIA,5829,48969982,13/05/2011,,2011,May
LA CAPTURA,DARÍO ARMANDO GARCÍA Y JUAN CARLOS VÁSQUEZ,DAGO GARCÍA PRODUCCIONES S.A.S.,89.2,CINE COLOMBIA,19168,134718287,27/04/2012,,2012,April
LA CARA OCULTA,ANDI BAIZ,BUNKER PRODUCIONES LTDA,95.0,CINECOLOR FILMS,614613,4286551969,20/01/2012,,2012,January
LA ETERNA NOCHE DE LAS DOCE LUNAS,PRISCILA PADILLA,DOCE LUNAS PRODUCCIONES,89.1,CINEPLEX,6026,49042900,16/08/2013,,2013,August
LA JUSTA MEDIDA,COLBERT GARCÍA,OCHO Y MEDIOS COMUNICACIÓN LTDA.,93.0,CINE COLOMBIA,17513,134551114,01/11/2013,,2013,November
LA LECTORA,RICARDO GABRIELLI,RICARDO GABRIELLI,95.5,CINE COLOMBIA,201031,1478465169,17/08/2012,,2012,August
LA PASIÓN DE GABRIEL,LUIS ALBERTO RESTREPO,SEÑAL CREATIVA LTDA,87.0,CINE COLOMBIA,220983,1633530494,07/08/2009,,2009,August
LA PLAYA D.C.,JUAN ANDRÉS ARANGO,SÉPTIMA FILMS LTDA.,90.0,CINEPLEX,16322,104317600,19/10/2012,,2012,October
LA RECTORA,MATEO STIVELBERG,DYNAMO PRODUCCIONES,94.2,CINE COLOMBIA,28169,208768073,07/05/2015,MAY 12 AÑOS,2015,May
LA SANGRE Y LA LLUVIA,JORGE NAVAS,EFE-X S.A EN LIQUIDACIÓN,80.0,CINE COLOMBIA,92091,607246650,30/10/2009,,2009,October
LA SIRGA,WILLIAM VEGA,CONTRAVÍA FILMS S.A.S.,93.0,CINEPLEX,22104,146199479,24/08/2012,,2012,August
LA SOCIEDAD DEL SEMÁFORO,RUBÉN MENDOZA,DIA FRAGMA FABRICA DE PELÍCULAS LTDA.,108.0,CINE COLOMBIA,43213,295367900,24/09/2010,,2010,September
LA TIERRA Y LA SOMBRA,CESAR ACEVEDO,BURNING BLUE,97.3,CINEPLEX,54583,468844210,23/07/2015,MAY 7 AÑOS,2015,July
LA VIDA ERA EN SERIO,MÓNICA BORDA,CENTAURO CINEMAESTRO S.A,90.0,UIP,26842,179671756,09/09/2011,,2011,September
LAS TETAS DE MI MADRE,CARLOZ ZAPATA,PINHOLES,81.0,BLACKVELVET,3050,17727500,5/11/2015,MAY 18 AÑOS,2015,November
LECCIONES PARA UN BESO,JUAN PABLO BUSTAMANTE,TALLERES UCHAWI LTDA,106.0,UIP,103067,643325166,08/04/2011,,2011,April
LO AZUL DEL CIELO,JUAN ALFREDO URIBE CARDOZO,PRODUCCIONES DEL CIELO S.A.S,112.1,CINEPLEX,20116,138801747,02/01/2013,,2013,January
LOCOS,HAROLD TROMPETERO SARAY,TROMPETERO PRODUCCIONES S.A.S,71.0,CINE COLOMBIA,12694,81965236,04/04/2011,,2011,April
LOS COLORES DE LA MONTAÑA,CARLOS CÉSAR ARBELÁEZ,EL BUS PRODUCCIONES S.A,93.0,CINE COLOMBIA,379525,2764381887,17/09/2010,,2010,September
LOS HONGOS,ÓSCAR HUMBERTO RUÍZ NAVIA,CONTRAVÍA FILMS S.A.S,103.0,CINEPLEX,9833,66896500,25/09/2014,,2014,September
LOS VIAJES DEL VIENTO,CIRO GUERRA,CIUDAD LUNAR PRODUCCIONES,117.0,CINEPLEX,167286,1166041944,28/04/2009,,2009,April
MAMÁ TÓMATE LA SOPA,MARIO RIBERO FERREIRA,BABILLA CINE S.A.S,99.0,BABILLA CINÉ,152112,2591086213,14/12/2011,,2011,December
MANOS SUCIAS,JOSEF KUBOTA WLADYKA,EL COLECTIVO GRUPO CREATIVO,85.0,CINE COLOMBIA,8370,56138800,09/10/2014,,2014,October
MARAÑON,SALOMÓN SIMHON,DYNAMO PRODUCCIONES,81.5,CINE COLOMBIA,3829,27578800,26/11/2015,MAY 15 AÑOS,2015,November
MATEO,MARÍA GAMBIA JARAMILLO,BURNING BLUE,85.0,CINEPLEX,8572,55960400,28/08/2014,,2014,August
MEMORIAS DEL CALAVERO,RUBÉN ENRIQUE MENDOZA MORENO,DIA FRAGMA FABRICA DE PELÍCULAS LTDA.,104.0,OTH,1351,8608100,06/11/2014,,2014,November
"MI GENTE LINDA, MI GENTE BELLA",HAROLD TROMPETERO SARAY,DAGO GARCÍA PRODUCCIONES S.A.S,87.3,CINE COLOMBIA,615208,6875,08/06/2012,,2012,June
MONTE ADENTRO,NICOLAS MACARIO ALONSO,NICOLAS MACARIO ALONSO,79.0,NICOLAS MACARIO ALONSO,1089,6055000,07/10/2015,TODO PUBLICO,2015,October
NOS VAMOS PAL MUNDIAL,ANDRÉS ORJUELA Y FERNANDO AYLLÓN,TAKE ONE PRODUCTIONS S.A.S,100.2,UIP,136461,979720566,25/04/2014,,2014,April
OUT OF THE DARK,LUIS QUILEZ,FAST PRODUCCIONES,92.0,CINECOLOR FILMS,93490,668708691,22/01/2015,MAY 12 AÑOS,2015,January
PA..POR MIS HIJOS LO QUE SEA,HAROLD TROMPETERO SARAY,TROMPETERO PRODUCCIONES S.A.S,110.0,CINECOLOR FILMS,58725,420082842,04/06/2015,TODO PUBLICO,2015,June
PABLO’S HIPPOS,ANTONIO VON HILDEBRAND,MIRAMAS S.A.S.,90.0,,42,343800,13/12/2013,,2013,December
PAISAJE INDELEBLE,JAIME ENRIQUE BARRIOS,LUZ YAMILE RAMÍREZ,87.8,ROYAL FILMS,1266,8616000,10/12/2015,MAY 7 AÑOS,2015,December
PARADOR HÚNGARO,ASENETH SUÁREZ,ASENETH SUÁREZ,78.0,ROYAL FILMS,473000,3064000,03/12/2015,TODO PUBLICO,2015,December
PECADOS DE MI PADRE,NICOLÁS ENTEL,ARKO VISION S.A.S.,93.0,,43766,223716150,12/11/2009,,2009,November
PEQUEÑAS VOCES,JAIRO CARRILLO Y OSCAR ANDRADE,JAIRO EDUARDOCARRILLO PEÑA,75.0,CINECOLOR FILMS,9833,97183305,16/09/2011,,2011,September
PEQUEÑOS VAGOS,CARLOS ALBERTO ZAPATA OROZCO,CARLOS ALBERTO ZAPATA OROZCO,84.2,ROYAL FILMS,1245,6020900,24/02/2012,,2012,February
